Smiles,Log10 Value (nM),Category,subcategoria_nombre
Cc1ccccc1OCc1nnc(S)n1N1C(=O)CSC1c1c[nH]nc1-c1ccc(Cl)cc1,5.165,Alto,Rango Superior Medio - Potencia
COc1cc(C2CC(c3ccc(C)cc3)=Cc3n[nH]c(O)c32)cc(OC)c1OC,4.879,Alto,Valores Altos - Potencia
O=C(/C=C/c1ccc2c(c1)OCO2)c1cc2cc(OCc3ccccc3)ccc2oc1=O,5.756,Alto,Valores Bajos - Potencia
CC(=O)N1N=C(c2cccnc2)CC1c1c(-c2ccccc2)[nH]c2ccccc12,4.999,Alto,Rango Superior Medio - Potencia
CCOC1Cc2c(C(C)=O)c(O)c3ccccc3c2O1,4.965,Alto,Valores Altos - Potencia
N/C(=N\OS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1ccccn1,4.857,Alto,Valores Altos - Potencia
COc1cc(/C=C/C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc(OC)c1O,4.876,Alto,Valores Altos - Potencia
Cc1ccc(C2=Cc3n[nH]c(O)c3C(c3ccc(C)cc3)C2)cc1,5.592,Alto,Rango Inferior Medio - Potencia
NC(CCC(=O)n1c(-c2ccc(F)c(F)c2F)nc2ccccc2c1=O)C(=O)O,5.075,Alto,Rango Superior Medio - Potencia
Cc1cccc(/C=N/NC(=O)c2ccc(-c3nc4cccc(C)c4[nH]3)cc2)c1,5.176,Alto,Rango Superior Medio - Potencia
COc1ccc(C2=CC(=O)OC2Cc2ccc(O)cc2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,5.112,Alto,Rango Superior Medio - Potencia
COc1cc(COc2ccc(C(=O)NN)cc2)cc(OC)c1OC,5.9,Alto,Valores Bajos - Potencia
CCC[C@H]1C[C@H]2OC(=O)c3c(cc(OC)c(O)c3O)[C@H]2O1,5.134,Alto,Rango Superior Medio - Potencia
COc1cc(C2CC(=NOC(=O)c3ccc(F)cc3)CC(c3ccc(O)c(OC)c3)N2C)ccc1O,5.149,Alto,Rango Superior Medio - Potencia
COc1ccc(O)c(/C=N/NC(=O)c2cc3ccc4c(c3o2)C=CC(C)(C)O4)c1,5.0,Alto,Rango Superior Medio - Potencia
O=C(O)/C=C/c1ccc(O)c(O)c1,4.824,Alto,Valores Altos - Potencia
CCSc1nn(CCSP(=O)(O)O)c(=N)s1,4.886,Alto,Valores Altos - Potencia
COC(=O)C1=C(C)NC(=O)NC1c1ccccc1,5.062,Alto,Rango Superior Medio - Potencia
N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccccc1Cl,6.098,Alto,Valores Bajos - Potencia
Oc1cc(O)c2c(=S)cc(-c3ccccc3)oc2c1,6.663,Alto,Valores Bajos - Potencia
Cc1cccc(N2C(=O)[C@H]3[C@H](ON4[C@@H]3C(=O)N(C)[C@@]43C[C@H](C)CC[C@H]3C(C)C)C2=O)c1,6.645,Alto,Valores Bajos - Potencia
COc1c(-c2ccc(C)cc2)c(C)nn1-c1ccccc1,4.825,Alto,Valores Altos - Potencia
COc1cc(/C=C2\CC/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1O,4.875,Alto,Valores Altos - Potencia
C/C(=N\N=C1\N=C(c2cc3ccccc3oc2=O)CS1)c1nc(-c2ccccc2)[nH]c1C,8.656,Alto,Valores Bajos - Potencia
O=C(O)c1ccc(O)c(O)c1,4.926,Alto,Valores Altos - Potencia
COc1cc(/C=N/NC(=O)c2cc3ccc4c(c3o2)C=CC(C)(C)O4)ccc1O,4.943,Alto,Valores Altos - Potencia
COc1cc(O)c2c(c1)C(=O)c1c(O)c(C)cc(O)c1C2=O,5.315,Alto,Rango Inferior Medio - Potencia
NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2cccc(F)c2)cc1,5.45,Alto,Rango Inferior Medio - Potencia
Oc1ccc2c(c1)-c1[nH]c3ccccc3c1C2,5.093,Alto,Rango Superior Medio - Potencia
COc1ccc(CCc2ccccc2O)cc1OC,5.588,Alto,Rango Inferior Medio - Potencia
