Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Unnamed: 48,Normalized Value (nM),Log10 Value (nM),Deviation_from_mean,Deviation_from_median,Mean_log10,Median_log10,Std_log10,Anderson_stat,Anderson_critical_value_5pct,Skewness,Kurtosis,Category,Subcategory
CHEMBL4289997,,,,0.0,"3,28",,COc1cc(CN(CCCCCO)Cc2ccc(O)c(OC)c2)ccc1O,IC50,0,24000.0,nM,"4,62",,,UO_0000065,,,,,0.0,CHEMBL4253121,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4251590,1,,Eur J Med Chem,2018,,,,,24,,24000.0,4.38,-0.1590525221357666,-0.1479999999999997,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4281705,,,,0.0,"2,89",,COc1cc(CN(CCCCO)Cc2ccc(O)c(OC)c2)ccc1O,IC50,0,21000.0,nM,"4,68",,,UO_0000065,,,,,0.0,CHEMBL4253121,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4251590,1,,Eur J Med Chem,2018,,,,,21,,21000.0,4.322,-0.2170525221357664,-0.2059999999999995,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4283207,,,,0.0,"2,47",,COc1cc(CN(CCCN)Cc2ccc(O)c(OC)c2)ccc1O.Cl.Cl,IC50,0,61500.0,nM,"4,21",,,UO_0000065,,,,,0.0,CHEMBL4253126,Antioxidant activity assessed as protection against AAPH-induced DNA damage in Escherichia coli plasmid pbr322 DNA after 1 hr by agarose gel electrophoresis method,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2364041,DNA,Bacteria,,CHEMBL4251590,1,,Eur J Med Chem,2018,,,,,"61,5",,61500.0,4.789,0.2499474778642332,0.2610000000000001,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL4288089,,,,0.0,"2,87",,Cc1ccc([C@]2(C)CC[C@@H](C(C)(C)O)O2)cc1O,IC50,0,18000.0,nM,"4,75",,,UO_0000065,,,,,0.0,CHEMBL4256083,Antioxidant activity in human HepG2 cells assessed as inhibition of ABAP-induced peroxyl radical generation incubated for 60 mins measured for 60 mins by DCFH-DA probe based fluorescence assay,F,BAO_0000219,cell-based format,,,,,,,,,CHEMBL395,HepG2,Homo sapiens,,CHEMBL4251709,1,,J Nat Prod,2018,,,,,18,,18000.0,4.255,-0.2840525221357666,-0.2729999999999997,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL50,QUERCETIN,3,,0.0,"1,99",,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,0,65000.0,nM,"4,19",,,UO_0000065,,,,,0.0,CHEMBL4256084,Antioxidant activity in human HepG2 cells assessed as inhibition of cumene hydroperoxide-mediated lipid peroxidation incubated for 60 mins followed by cumOOH addition for 60 mins measured for 60 mins by C11-BODIPY probe based fluorescence assay,F,BAO_0000219,cell-based format,,,,,,,,,CHEMBL395,HepG2,Homo sapiens,,CHEMBL4251709,1,,J Nat Prod,2018,,,,,65,,65000.0,4.813,0.2739474778642332,0.2850000000000001,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL4288089,,,,0.0,"2,87",,Cc1ccc([C@]2(C)CC[C@@H](C(C)(C)O)O2)cc1O,IC50,0,31000.0,nM,"4,51",,,UO_0000065,,,,,0.0,CHEMBL4256084,Antioxidant activity in human HepG2 cells assessed as inhibition of cumene hydroperoxide-mediated lipid peroxidation incubated for 60 mins followed by cumOOH addition for 60 mins measured for 60 mins by C11-BODIPY probe based fluorescence assay,F,BAO_0000219,cell-based format,,,,,,,,,CHEMBL395,HepG2,Homo sapiens,,CHEMBL4251709,1,,J Nat Prod,2018,,,,,31,,31000.0,4.491,-0.0480525221357668,-0.0369999999999999,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL196,ASCORBIC ACID,4,,0.0,"-1,41",,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,IC50,0,20230.0,nM,"4,69",,,UO_0000065,,,,,0.0,CHEMBL4260197,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4257556,1,,Medchemcomm,2018,,,,,"20,23",,20230.0,4.306,-0.2330525221357664,-0.2219999999999995,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4290841,,,,2.0,"5,53",,O=C(/C=C/c1ccc(C(=O)Nc2nnc(-c3ccc(O)c(O)c3)s2)cc1)c1ccc(Br)cc1,IC50,0,18040.0,nM,"4,74",,,UO_0000065,,,,,0.0,CHEMBL4260197,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4257556,1,,Medchemcomm,2018,,,,,"18,04",,18040.0,4.256,-0.2830525221357662,-0.2719999999999993,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4280208,,,,0.0,"4,9",,O=C(/C=C/c1ccc(C(=O)Nc2nnc(-c3ccc(O)c(O)c3)s2)cc1)c1ccc(F)cc1,IC50,0,17820.0,nM,"4,75",,,UO_0000065,,,,,0.0,CHEMBL4260197,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4257556,1,,Medchemcomm,2018,,,,,"17,82",,17820.0,4.251,-0.2880525221357661,-0.2769999999999992,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4276778,,,,0.0,"4,77",,COc1ccc(C(=O)/C=C/c2ccc(C(=O)Nc3nnc(-c4ccc(O)c(O)c4)s3)cc2)cc1,IC50,0,17860.0,nM,"4,75",,,UO_0000065,,,,,0.0,CHEMBL4260197,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4257556,1,,Medchemcomm,2018,,,,,"17,86",,17860.0,4.252,-0.2870525221357667,-0.2759999999999998,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4286306,,,,1.0,"5,07",,Cc1cccc(C(=O)/C=C/c2ccc(C(=O)Nc3nnc(-c4ccc(O)c(O)c4)s3)cc2)c1,IC50,0,17170.0,nM,"4,76",,,UO_0000065,,,,,0.0,CHEMBL4260197,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4257556,1,,Medchemcomm,2018,,,,,"17,17",,17170.0,4.235,-0.3040525221357661,-0.2929999999999992,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL4288234,,,,3.0,"5,91",,CC[C@H](C)C1=C(O)[N@+]2([O-])Oc3ccc(-c4c(O)c(O)c(-c5ccc(O)cc5)c(OC(C)=O)c4OC(C)=O)cc3O[C@@]2([C@@H](C)CC)C(=O)N1OC,IC50,0,25000.0,nM,"4,6",,,UO_0000065,,,,,0.0,CHEMBL4266428,Antioxidant activity of the compound,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4265876,1,,J Nat Prod,2017,,,,,25,,25000.0,4.398,-0.1410525221357668,-0.1299999999999999,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL4292710,,,,3.0,"5,91",,CC[C@H](C)C1=C(O)[N@@+]2([O-])Oc3ccc(-c4c(O)c(O)c(-c5ccc(O)cc5)c(OC(C)=O)c4OC(C)=O)cc3O[C@@]2([C@@H](C)CC)C(=O)N1OC,IC50,0,29100.0,nM,"4,54",,,UO_0000065,,,,,0.0,CHEMBL4266428,Antioxidant activity of the compound,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4265876,1,,J Nat Prod,2017,,,,,"29,1",,29100.0,4.464,-0.075052522135766,-0.0639999999999991,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL4282335,,,,0.0,"3,58",,CC(Nc1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,IC50,0,26000.0,nM,"4,58",,,UO_0000065,,,,,0.0,CHEMBL4267578,Antioxidant activity assessed as DPPH free radical scavenging activity after 30 to 60 mins by UV-vis spectrophotometric analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4265917,1,,Eur J Med Chem,2018,,,,,26,,26000.0,4.415,-0.1240525221357664,-0.1129999999999995,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,rango superior medio - potencia
CHEMBL196,ASCORBIC ACID,4,,0.0,"-1,41",,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,IC50,0,24000.0,nM,"4,62",,,UO_0000065,,,,,0.0,CHEMBL4273022,Antioxidant activity assessed as DPPH radical scavenging activity relative to control,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4270556,1,,Eur J Med Chem,2018,,,,,"0,024",,24000.0,4.38,-0.1590525221357666,-0.1479999999999997,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
CHEMBL196,ASCORBIC ACID,4,,0.0,"-1,41",,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,IC50,0,54100.0,nM,"4,27",,,UO_0000065,,,,,0.0,CHEMBL4273036,Antioxidant activity assessed as DPPH radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4270556,1,,Eur J Med Chem,2018,,,,,"54,1",,54100.0,4.733,0.1939474778642331,0.205,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores bajos - potencia
CHEMBL47,ALPHA-TOCOPHEROL,,,1.0,"8,84",,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2,IC50,0,23800.0,nM,"4,62",,,UO_0000065,,,,,0.0,CHEMBL4273036,Antioxidant activity assessed as DPPH radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL4270556,1,,Eur J Med Chem,2018,,,,,"23,8",,23800.0,4.377,-0.1620525221357667,-0.1509999999999998,4.5390525221357665,4.528,0.9812419040372378,186.41828432494367,0.787,0.5608116046149273,3.3519852330799704,Medio,valores altos - potencia
