Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Unnamed: 48,Normalized Value (nM),Log10 Value (nM),Deviation_from_mean,Deviation_from_median,Mean_log10,Median_log10,Std_log10,Anderson_stat,Anderson_critical_value_5pct,Skewness,Kurtosis,Category,subcategoria,subcategoria_nombre,Stats_count,Stats_mean,Stats_std,Stats_min,Stats_25%,Stats_50%,Stats_75%,Stats_max,Count_Subcategoria
CHEMBL5181143,,,211.22,,0.21,,O=C(NCCCO)c1ccc(O)c(O)c1,IC50,=,4700.0,nM,5.33,,,UO_0000065,,,,,,CHEMBL5108689,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,4.7,,4700.0,3.672,0.0899828801611279,-0.0789999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5181443,,,239.23,,0.69,,O=C(O)CCCNC(=O)c1ccc(O)c(O)c1,IC50,=,4700.0,nM,5.33,,,UO_0000065,,,,,,CHEMBL5108689,Antioxidant activity assessed as free radical scavenging activity incubated for 30 mins by microplate reader analysis,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5107956,1,,Eur J Med Chem,2022,,,,,4.7,,4700.0,3.672,0.0899828801611279,-0.0789999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5189604,,,310.31,,1.79,,Cn1c(N/N=C/c2ccc(O)cc2O)nc2ccccc2c1=O,IC50,=,8400.0,nM,5.08,,,UO_0000065,,,,,,CHEMBL5127010,Antioxidant activity assessed as radical scavenging incubated for 90 mins in dark DPPH assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5126508,1,,Eur J Med Chem,2022,,,,,8.4,,8400.0,3.924,0.3419828801611277,0.173,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,2,Bajo - Potencia Baja,1654.0,11896.939564691656,2415.4663244112853,8020.0,10000.0,11700.0,13910.0,16670.0,1654
CHEMBL50,QUERCETIN,,302.24,,1.99,,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,=,4000.0,nM,5.4,,,UO_0000065,,,,,,CHEMBL5127463,Antioxidant activity assessed as DPPH radical scavenging activity after 30 mins under dark condition,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5126518,1,,Eur J Med Chem,2022,,,,,0.004,,4000.0,3.602,0.0199828801611277,-0.149,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5185783,,,787.75,,0.76,,COc1ccc(-c2c/c(=N\C(=S)Nc3cccc([N+](=O)[O-])c3)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3o2)cc1O,IC50,=,5195.0,nM,5.28,,,UO_0000065,,,,,,CHEMBL5138496,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5137004,1,,Eur J Med Chem,2022,,,,,5.195,,5195.0,3.716,0.133982880161128,-0.0349999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5177130,,,727.67,,0.65,,COc1ccc(-c2c/c(=N\C(=O)Oc3ccccc3)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3o2)cc1O,IC50,=,5640.0,nM,5.25,,,UO_0000065,,,,,,CHEMBL5138496,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5137004,1,,Eur J Med Chem,2022,,,,,5.64,,5640.0,3.751,0.1689828801611277,0.0,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5197997,,,584.97,,3.14,,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)Nc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])cc2)CC(O)C1O,IC50,=,5100.0,nM,5.29,,,UO_0000065,,,,,,CHEMBL5138496,Antioxidant activity assessed as DPPH radical scavenging activity incubated for 30 mins,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5137004,1,,Eur J Med Chem,2022,,,,,5.1,,5100.0,3.708,0.125982880161128,-0.0429999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5203499,,,332.44,,3.70,,COC(=O)[C@H]1C[C@@H](C)[C@H]2[C@@H](C=C[C@H](C)[C@@H]2/C=C/C=C/C(=O)O)[C@@H]1C,IC50,=,2800.0,nM,5.55,,,UO_0000065,,,,,,CHEMBL5150748,Antioxidant activity of the compound by DPPH assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5149975,1,,J Nat Prod,2021,,,,,2.8,,2800.0,3.447,-0.1350171198388721,-0.3039999999999998,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL50,QUERCETIN,,302.24,,1.99,,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,=,5700.0,nM,5.24,,,UO_0000065,,,,,,CHEMBL5150748,Antioxidant activity of the compound by DPPH assay,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5149975,1,,J Nat Prod,2021,,,,,5.7,,5700.0,3.756,0.1739828801611276,0.0049999999999998,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,1,Bajo - Potencia Media,1656.0,4991.787258454106,1629.9626823697647,2400.0,3500.0,4730.0,6500.0,8000.0,1656
CHEMBL5274269,,,367.45,,2.45,,O=C(NO)c1cccc(C(=O)NCC2CCN(Cc3ccccc3)CC2)c1,IC50,=,12370.0,nM,4.91,,,UO_0000065,,,,,,CHEMBL5225889,Antioxidant activity assessed as ABTS radical scavenging activity,F,BAO_0000019,assay format,,,,,,,,,CHEMBL2362975,No relevant target,,,CHEMBL5223174,1,,Bioorg Med Chem,2023,,,,,12.37,,12370.0,4.092,0.5099828801611275,0.3409999999999997,3.582017119838872,3.751,0.5912252150784535,178.7651673005303,0.786,-2.1081725006758534,8.750841894948406,Bajo,2,Bajo - Potencia Baja,1654.0,11896.939564691656,2415.4663244112853,8020.0,10000.0,11700.0,13910.0,16670.0,1654
